Profile 1;Profile 1;
x;y;
[m<sup>-1</sup>];[m];
0;2.3636358e-009;
75.796616;2.2429993e-009;
151.59323;2.1216101e-009;
227.38985;2.2632184e-009;
303.18646;2.3755579e-009;
378.98308;2.5992808e-009;
454.7797;2.446293e-009;
530.57631;2.5362751e-009;
606.37293;2.4828578e-009;
682.16954;2.5678742e-009;
757.96616;2.8112804e-009;
833.76278;3.2050725e-009;
909.55939;3.797606e-009;
985.35601;5.5973853e-009;
1061.1526;5.4804534e-009;
1136.9492;4.5127407e-009;
1212.7459;4.1879613e-009;
1288.5425;4.0031602e-009;
1364.3391;4.9160582e-009;
1440.1357;5.1229817e-009;
1515.9323;6.4751501e-009;
1591.7289;6.4665817e-009;
1667.5256;8.4336107e-009;
1743.3222;8.4851154e-009;
1819.1188;7.7984348e-009;
1894.9154;1.1512937e-008;
1970.712;1.7635926e-008;
2046.5086;2.633547e-008;
2122.3052;1.6865308e-008;
2198.1019;1.1022822e-008;
2273.8985;7.5942177e-009;
2349.6951;8.4784831e-009;
2425.4917;8.2748431e-009;
2501.2883;6.5110471e-009;
2577.0849;6.3697162e-009;
2652.8816;5.2006225e-009;
2728.6782;4.8936137e-009;
2804.4748;3.9934514e-009;
2880.2714;4.3296677e-009;
2956.068;4.5155745e-009;
3031.8646;5.509868e-009;
3107.6613;5.5217236e-009;
3183.4579;3.7514721e-009;
3259.2545;3.1223626e-009;
3335.0511;2.5756257e-009;
3410.8477;2.4180592e-009;
3486.6443;2.4605134e-009;
3562.4409;2.5007617e-009;
3638.2376;2.4321441e-009;
3714.0342;2.5993065e-009;
3789.8308;2.3845359e-009;
3865.6274;2.3048185e-009;
3941.424;2.1951998e-009;
4017.2206;2.2729464e-009;
4093.0173;2.3181032e-009;
4168.8139;1.9700454e-009;
4244.6105;1.9416037e-009;
4320.4071;1.8636197e-009;
4396.2037;1.690463e-009;
