Profile 1;Profile 1;
x;y;
[m<sup>-1</sup>];[m];
0;1.5651266e-009;
90.967918;1.4915769e-009;
181.93584;1.4391371e-009;
272.90375;1.7609284e-009;
363.87167;1.9458512e-009;
454.83959;1.8366205e-009;
545.80751;1.765104e-009;
636.77543;1.9174068e-009;
727.74334;2.1059477e-009;
818.71126;2.5639891e-009;
909.67918;2.7029683e-009;
1000.6471;2.426523e-009;
1091.615;2.1217858e-009;
1182.5829;2.1149433e-009;
1273.5509;2.6493396e-009;
1364.5188;3.2378443e-009;
1455.4867;2.9656516e-009;
1546.4546;2.7925681e-009;
1637.4225;2.7900404e-009;
1728.3904;3.2710011e-009;
1819.3584;5.1258433e-009;
1910.3263;5.7851902e-009;
2001.2942;4.1973825e-009;
2092.2621;3.5478023e-009;
2183.23;4.2974477e-009;
2274.198;6.4200715e-009;
2365.1659;7.8714731e-009;
2456.1338;8.6484439e-009;
2547.1017;7.8702451e-009;
2638.0696;1.1798734e-008;
2729.0375;1.7691151e-008;
2820.0055;1.9532569e-008;
2910.9734;1.9854696e-008;
3001.9413;1.5347423e-008;
3092.9092;9.6842329e-009;
3183.8771;7.9950999e-009;
3274.8451;8.5334528e-009;
3365.813;7.4062269e-009;
3456.7809;5.5952136e-009;
3547.7488;3.7751865e-009;
3638.7167;3.6591373e-009;
3729.6846;4.8382006e-009;
3820.6526;5.8755592e-009;
3911.6205;4.3525452e-009;
4002.5884;2.9135113e-009;
4093.5563;2.7795147e-009;
4184.5242;2.8167948e-009;
4275.4922;3.1197092e-009;
4366.4601;3.0867927e-009;
4457.428;2.3750103e-009;
4548.3959;2.0215168e-009;
4639.3638;2.2068469e-009;
4730.3317;2.4735773e-009;
4821.2997;2.7306302e-009;
4912.2676;2.3268554e-009;
5003.2355;1.9829373e-009;
5094.2034;1.8530827e-009;
5185.1713;1.7477745e-009;
5276.1392;1.9074019e-009;
5367.1072;1.9246247e-009;
5458.0751;1.6343565e-009;
5549.043;1.4370645e-009;
5640.0109;1.5478246e-009;
5730.9788;1.5866023e-009;
5821.9468;1.5772417e-009;
5912.9147;1.5579566e-009;
6003.8826;1.392831e-009;
6094.8505;1.3152331e-009;
